"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.134295167E0,-3.252735901E-1,-1.195563812E0,-3.154540100E0
5.144336167E0,-5.664221191E-1,-1.053359528E0,-4.253255310E0
5.154376167E0,-7.252418518E-1,-1.957778778E0,-5.028193817E0
5.164417167E0,-3.495231628E-1,-3.316652985E0,-5.588927765E0
5.174457167E0,-6.286926270E-3,-5.041516113E0,-6.613247681E0
5.184498167E0,-1.694476318E-1,-7.394922180E0,-8.657696228E0
5.194539167E0,-7.191046143E-1,-1.111723160E1,-1.011970596E1
5.204579167E0,-1.651665344E0,-1.637100632E1,-1.124731110E1
5.214620167E0,-3.333418121E0,-2.356609406E1,-1.303953415E1
5.224660167E0,-4.308340759E0,-3.127805695E1,-1.405113052E1
5.234701167E0,-2.947819977E0,-3.104304565E1,-1.311842010E1
5.244742167E0,-6.150709534E-1,-2.126522873E1,-9.879605255E0
5.254782167E0,5.566923523E-1,-9.465266876E0,-6.616091766E0
5.264823167E0,1.441203003E0,3.370989990E-1,-5.828130341E0
5.274863167E0,1.310674438E0,4.845124512E0,-8.034991150E0
5.284904167E0,-3.347039795E-1,1.905687103E0,-7.885302429E0
5.294945167E0,-2.023492126E0,-3.153342590E0,-6.337820435E-1
5.304985167E0,-4.252057800E0,-9.539662170E0,7.092401276E0
5.315026167E0,-7.068451080E0,-1.582464249E1,9.161099396E0
5.325066167E0,-9.640252991E0,-2.256153305E1,8.456215210E0
5.335107167E0,-9.424551544E0,-2.664534073E1,5.944139099E-1
5.345148167E0,-4.162693634E0,-2.131282974E1,-3.561543732E0
5.355188167E0,1.037043457E0,-1.079794556E1,-6.439608765E0
5.365229167E0,2.796634369E0,-2.806663513E0,-6.543343048E0
5.375269167E0,2.458038483E0,2.462080078E0,-1.551822968E0
5.385310167E0,-6.024971008E-1,2.689307556E0,4.339176636E0
5.395351167E0,-3.223097534E0,-8.687933350E-1,7.661068726E0
5.405391167E0,-4.457730103E0,-5.517675934E0,7.610773315E0
5.415432167E0,-3.605252838E0,-9.453441467E0,6.233487396E0
5.425472167E0,-1.728305969E0,-1.212583420E1,3.365601196E0
